Info 119  [20:12:31.852] getCompletionData: Get previous token 1: 0
Info 120  [20:12:31.852] getCompletionData: Get previous token 2: 0
Info 121  [20:12:31.852] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 122  [20:12:31.859] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 123  [20:12:31.881] forEachExternalModuleToImportFrom: filtered out 80 modules by package.json contents
Info 124  [20:12:31.882] getSymbolsFromOtherSourceFileExports: 23
Info 125  [20:12:31.886] getCompletionData: Semantic work: 34
Info 126  [20:12:31.913] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 20
Info 127  [20:12:31.976] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 128  [20:12:32.20] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 44ms
Info 129  [20:12:32.21] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 130  [20:12:32.21] getCompletionData: Get current token: 0
Info 131  [20:12:32.21] getCompletionData: Is inside comment: 0
Info 132  [20:12:32.21] getCompletionData: Get previous token 1: 0
Info 133  [20:12:32.21] getCompletionData: Get previous token 2: 0
Info 134  [20:12:32.21] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 135  [20:12:32.26] getSymbolsFromOtherSourceFileExports: Using cached list
Info 136  [20:12:32.30] getCompletionData: Semantic work: 9
Info 137  [20:12:32.54] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17
Info 138  [20:12:32.242] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [20:12:32.292] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 49ms
Info 140  [20:12:32.292] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 141  [20:12:32.292] getCompletionData: Get current token: 0
Info 142  [20:12:32.292] getCompletionData: Is inside comment: 0
Info 143  [20:12:32.292] getCompletionData: Get previous token 1: 0
Info 144  [20:12:32.292] getCompletionData: Get previous token 2: 0
Info 145  [20:12:32.292] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 146  [20:12:32.297] getSymbolsFromOtherSourceFileExports: Using cached list
Info 147  [20:12:32.299] getCompletionData: Semantic work: 7
Info 148  [20:12:32.324] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 19
Info 149  [20:12:32.331] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [20:12:32.368] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 37ms
Info 151  [20:12:32.368] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 152  [20:12:32.369] getCompletionData: Get current token: 0
Info 153  [20:12:32.369] getCompletionData: Is inside comment: 0
Info 154  [20:12:32.369] getCompletionData: Get previous token 1: 0
Info 155  [20:12:32.369] getCompletionData: Get previous token 2: 0
Info 156  [20:12:32.369] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 157  [20:12:32.373] getSymbolsFromOtherSourceFileExports: Using cached list
Info 158  [20:12:32.374] getCompletionData: Semantic work: 5
Info 159  [20:12:32.388] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9
Info 160  [20:12:32.393] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 161  [20:12:32.432] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 39ms
Info 162  [20:12:32.432] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 163  [20:12:32.432] getCompletionData: Get current token: 0
Info 164  [20:12:32.432] getCompletionData: Is inside comment: 0
Info 165  [20:12:32.432] getCompletionData: Get previous token 1: 0
Info 166  [20:12:32.432] getCompletionData: Get previous token 2: 0
Info 167  [20:12:32.432] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 168  [20:12:32.438] getSymbolsFromOtherSourceFileExports: Using cached list
Info 169  [20:12:32.439] getCompletionData: Semantic work: 7
Info 170  [20:12:32.453] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 171  [20:12:33.422] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [20:12:33.461] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 39ms
Info 173  [20:12:33.461] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 174  [20:12:33.922] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 175  [20:12:34.10] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 88ms
Info 176  [20:12:34.10] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 177  [20:12:34.666] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 178  [20:12:34.720] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 53ms
Info 179  [20:12:34.720] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 180  [20:12:34.720] getCompletionData: Get current token: 0
Info 181  [20:12:34.720] getCompletionData: Is inside comment: 0
Info 182  [20:12:34.720] getCompletionData: Get previous token 1: 0
Info 183  [20:12:34.720] getCompletionData: Get previous token 2: 0
Info 184  [20:12:34.721] getCompletionsAtPosition: isCompletionListBlocker: 1
Info 185  [20:12:34.725] getSymbolsFromOtherSourceFileExports: Using cached list
Info 186  [20:12:34.728] getCompletionData: Semantic work: 7
Info 187  [20:12:34.742] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 188  [20:12:34.756] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [20:12:34.797] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 41ms
Info 190  [20:12:34.797] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 191  [20:12:34.798] getCompletionData: Get current token: 0
Info 192  [20:12:34.798] getCompletionData: Is inside comment: 0
Info 193  [20:12:34.798] getCompletionData: Get previous token 1: 0
Info 194  [20:12:34.798] getCompletionData: Get previous token 2: 0
Info 195  [20:12:34.798] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 196  [20:12:34.802] getSymbolsFromOtherSourceFileExports: Using cached list
Info 197  [20:12:34.806] getCompletionData: Semantic work: 8
Info 198  [20:12:34.824] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13
Info 199  [20:12:34.848] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 200  [20:12:34.887] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 39ms
Info 201  [20:12:34.887] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 202  [20:12:34.887] getCompletionData: Get current token: 0
Info 203  [20:12:34.887] getCompletionData: Is inside comment: 0
Info 204  [20:12:34.887] getCompletionData: Get previous token 1: 0
Info 205  [20:12:34.887] getCompletionData: Get previous token 2: 0
Info 206  [20:12:34.887] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 207  [20:12:34.892] getSymbolsFromOtherSourceFileExports: Using cached list
Info 208  [20:12:34.893] getCompletionData: Semantic work: 6
Info 209  [20:12:34.902] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 210  [20:12:34.997] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 211  [20:12:35.38] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 41ms
Info 212  [20:12:35.39] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 213  [20:12:35.39] getCompletionData: Get current token: 0
Info 214  [20:12:35.39] getCompletionData: Is inside comment: 0
Info 215  [20:12:35.39] getCompletionData: Get previous token 1: 0
Info 216  [20:12:35.39] getCompletionData: Get previous token 2: 0
Info 217  [20:12:35.39] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 218  [20:12:35.45] getSymbolsFromOtherSourceFileExports: Using cached list
Info 219  [20:12:35.46] getCompletionData: Semantic work: 7
Info 220  [20:12:35.55] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 221  [20:12:36.72] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 222  [20:12:36.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 83ms
Info 223  [20:12:36.155] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 224  [20:12:36.156] getCompletionData: Get current token: 0
Info 225  [20:12:36.156] getCompletionData: Is inside comment: 0
Info 226  [20:12:36.156] getCompletionData: Get previous token 1: 0
Info 227  [20:12:36.156] getCompletionData: Get previous token 2: 0
Info 228  [20:12:36.157] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 229  [20:12:36.162] getSymbolsFromOtherSourceFileExports: Using cached list
Info 230  [20:12:36.164] getCompletionData: Semantic work: 7
Info 231  [20:12:36.177] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 232  [20:12:36.452] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 233  [20:12:36.535] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 83ms
Info 234  [20:12:36.535] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 235  [20:12:36.536] getCompletionData: Get current token: 0
Info 236  [20:12:36.536] getCompletionData: Is inside comment: 0
Info 237  [20:12:36.536] getCompletionData: Get previous token 1: 0
Info 238  [20:12:36.536] getCompletionData: Get previous token 2: 0
Info 239  [20:12:36.536] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 240  [20:12:36.540] getSymbolsFromOtherSourceFileExports: Using cached list
Info 241  [20:12:36.541] getCompletionData: Semantic work: 5
Info 242  [20:12:36.557] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7
Info 243  [20:12:36.686] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [20:12:36.728] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 42ms
Info 245  [20:12:36.728] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 246  [20:12:36.729] getCompletionData: Get current token: 0
Info 247  [20:12:36.729] getCompletionData: Is inside comment: 0
Info 248  [20:12:36.729] getCompletionData: Get previous token 1: 0
Info 249  [20:12:36.729] getCompletionData: Get previous token 2: 0
Info 250  [20:12:36.729] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 251  [20:12:36.733] getSymbolsFromOtherSourceFileExports: Using cached list
Info 252  [20:12:36.734] getCompletionData: Semantic work: 5
Info 253  [20:12:36.747] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6
Info 254  [20:12:37.57] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 255  [20:12:37.149] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 92ms
Info 256  [20:12:37.149] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 257  [20:12:37.150] getCompletionData: Get current token: 0
Info 258  [20:12:37.150] getCompletionData: Is inside comment: 0
Info 259  [20:12:37.150] getCompletionData: Get previous token 1: 0
Info 260  [20:12:37.150] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 261  [20:12:37.151] getCompletionData: Semantic work: 1
Info 262  [20:12:37.153] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1
Info 263  [20:12:37.275] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 264  [20:12:37.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 52ms
Info 265  [20:12:37.327] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 266  [20:12:37.328] getCompletionData: Get current token: 0
Info 267  [20:12:37.328] getCompletionData: Is inside comment: 0
Info 268  [20:12:37.328] getCompletionData: Get previous token 1: 0
Info 269  [20:12:37.328] getCompletionData: Get previous token 2: 0
Info 270  [20:12:37.328] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 271  [20:12:37.329] getCompletionData: Semantic work: 1
Info 272  [20:12:37.331] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2
Info 273  [20:12:37.444] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [20:12:37.485] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 41ms
